"","tripid","ox","oy","oz","departure","dx","dy","dz","arrival","tdistance","ttime","dow","timestamp","uid","id","stayindestination","dtrips","home"
"70","161",722295.152892726,9677229.72585357,2535.3,15.28528,722331.390399294,9677290.85682601,2531.6,15.39389,0.145538177962942,0.108610000000001,2,1687793018,"614820f9e6",70,3456,6,"N"
"71","162",720819.670183166,9677544.22082047,2557.4,15.79389,716999.53062838,9677064.38388059,2616.2,16.24528,6.42512052861963,0.451390000000002,2,1687796083,"614820f9e6",71,12849.984,33,"Y"
"72","163",717526.712605413,9676776.43270971,2609.1,19.10278,718892.791042526,9676562.116054,2588.1,19.36333,2.7992721560638,0.260550000000002,2,1687807308,"614820f9e6",72,5202,21,"N"
"73","164",718945.323278916,9676531.97421253,2622.1,19.63528,718844.928338566,9676503.08502258,2648.9,20.54778,20.9621435748013,0.912499999999998,2,1687811572,"614820f9e6",73,4596.984,21,"N"
"74","165",718850.329372279,9676507.63221305,2638,20.91083,718858.891264749,9676513.81071893,2651,20.91222,0.0211201992048399,0.00139000000000067,2,1687812884,"614820f9e6",74,8915.004,21,"N"
"75","166",719257.340534668,9676809.27285826,2587.2,23.01611,717001.506346864,9677062.32333541,2616.2,23.38722,8.9659639882495,0.371109999999998,2,1687821794,"614820f9e6",75,7.81778,33,"Y"
"76","167",716954.453294129,9677058.95438878,2617.6,6.62861,722214.442448494,9677172.48967869,2538,6.83389,7.91069354749942,0.20528,3,1687848602,"614820f9e6",76,6796.008,66,"N"
"77","168",722208.503833828,9677190.94842963,2538,8.38556,722210.083218932,9677234.94257711,2538.6,8.51639,0.167401374285786,0.13083,3,1687854659,"614820f9e6",77,31684.968,66,"N"
"78","17",718897.918226942,9676550.00756185,2593.7,17.07361,718874.715920299,9676558.92933992,2596.6,17.18694,0.354722923087579,0.113330000000001,4,1685553073,"614820f9e6",78,4196.01600000001,21,"N"
"79","18",718916.421663545,9676537.46638422,2620.2,17.44556,718896.364401936,9676551.68032818,2591.6,18.23917,0.440838920625361,0.793610000000001,4,1685556861,"614820f9e6",79,4332.996,21,"N"
"80","19",718903.174418134,9676554.38910874,2620.2,18.49722,718900.937071532,9676559.42527476,2623.3,18.64917,0.185421927210342,0.151950000000003,4,1685558337,"614820f9e6",80,14.5325,21,"N"
"81","2",722228.44758145,9677162.84252241,2539.8,8.67111,722204.16802034,9677235.29595122,2538.8,9.02972,0.27494161517539,0.358609999999999,3,1685437307,"614820f9e6",81,37406.016,66,"N"
"82","20",718903.891823652,9676544.98696051,2590.7,19.04472,718895.871445724,9676562.25442837,2591.6,19.06167,0.0777131826846342,0.0169499999999978,4,1685559822,"614820f9e6",82,5883.01199999999,21,"N"
"83","21",718907.174960499,9676552.93324707,2620.3,20.41694,717006.644874067,9677069.44795492,2611,20.67889,3.31047897386183,0.261949999999999,4,1685565644,"614820f9e6",83,10.54556,33,"Y"
"84","22",716996.155816296,9677073.98960798,2617.1,6.56917,722211.727481138,9677240.35908887,2538.8,6.9625,9.33333922630171,0.393330000000001,5,1685602665,"614820f9e6",84,20864.988,66,"N"
"85","23",722193.560317017,9677223.20402715,2537.5,12.0275,722569.25945464,9677429.0498328,2511,12.365,0.491924379982874,0.3375,5,1685622114,"614820f9e6",85,6351.012,22,"N"
"86","24",722554.680268431,9677441.07596467,2538,13.05167,718001.088378622,9680143.88228045,2576.1,13.79167,12.1105422524946,0.74,5,1685627250,"614820f9e6",86,3499.99200000001,22,"N"
"87","25",718000.903888539,9680152.95164276,2623,14.02278,717994.585314309,9680145.11009501,2614,14.02389,0.0109983070167985,0.00111000000000061,5,1685628086,"614820f9e6",87,2662.99200000001,22,"N"
"88","26",717517.275031913,9680740.7951574,2617,14.37333,718891.794639204,9676558.26896743,2620.3,14.7625,9.87455450099572,0.38917,5,1685630745,"614820f9e6",88,6920.028,21,"N"
"89","27",718901.620203275,9676562.17798392,2592.8,15.65611,718895.371818929,9676556.3493345,2620.2,16.29556,0.720590083559144,0.639449999999998,5,1685636264,"614820f9e6",89,16830,21,"N"
"90","28",718882.241594287,9676557.57789435,2620.2,20.32389,718890.251664253,9676553.44957125,2617.5,20.33111,0.0218800177872635,0.00722000000000023,5,1685650792,"614820f9e6",90,4011.984,21,"N"
"91","29",718874.074454805,9676554.57287703,2620.2,20.80583,718884.537061965,9676553.97941015,2590.7,21.43833,0.833373241538351,0.6325,5,1685654778,"614820f9e6",91,14.34723,21,"N"
"92","3",722217.530101696,9677176.66489659,2540.7,11.12417,722218.982920593,9677174.47242037,2537.5,11.15306,0.0314888130653179,0.0288900000000005,3,1685444951,"614820f9e6",92,39103.992,66,"N"
"93","30",718858.511325388,9676531.76155032,2649.2,21.64917,718897.775120493,9676569.84921922,2589.2,21.98639,0.405457077940908,0.337219999999999,5,1685656751,"614820f9e6",93,3570.984,21,"N"
"94","31",718903.223692196,9676544.44619909,2649.2,22.25222,717003.598965175,9677057.14373612,2617.3,22.64111,3.81885887059512,0.38889,5,1685659108,"614820f9e6",94,10.76611,33,"Y"
"95","32",717094.061827912,9676918.97185809,2615,8.69611,722215.062554044,9677233.58439958,2538.8,9.01833,6.33588684009488,0.322220000000002,6,1685696466,"614820f9e6",95,8505,66,"N"
"96","33",722219.670190079,9677248.33034368,2535.7,10.37917,722416.145637915,9677165.08571282,2547.9,11.05861,0.84538463745862,0.67944,6,1685703811,"614820f9e6",96,7826.004,22,"N"
"97","34",722348.060707302,9677247.89196816,2535.1,12.29028,722220.384263875,9677205.88052739,2537.5,12.55306,0.492183580971847,0.262780000000001,6,1685709191,"614820f9e6",97,2646.00000000001,66,"N"
"98","35",722204.241281541,9677170.15201638,2537.8,13.02306,722193.866010202,9677169.96031617,2537.8,13.02528,0.0205051128211488,0.00222000000000122,6,1685710891,"614820f9e6",98,3936.996,66,"N"
"99","36",722208.513806278,9677202.81586592,2537.8,14.00639,722292.438750566,9677235.49297744,2535.1,14.11667,0.331783413686887,0.110279999999999,6,1685714820,"614820f9e6",99,22.33083,66,"N"
"100","37",716986.569314067,9677047.58449964,2617.1,12.26361,717003.098140811,9677050.48663301,2617.1,12.33722,0.0623149105353526,0.0736100000000004,2,1685967614,"614820f9e6",100,7392.99600000001,33,"Y"
"101","38",716997.992043583,9676953.1917731,2619,14.1125,720584.591130965,9677251.76735421,2571,14.31722,5.82859171238136,0.20472,2,1685974742,"614820f9e6",101,4714.992,22,"N"
"102","39",720653.426093364,9677291.22955453,2484,14.59333,720529.299307393,9677237.00028447,2554,15.42222,3.42928170544805,0.828889999999999,2,1685978720,"614820f9e6",102,21.77306,22,"N"
"103","4",722221.896414519,9677168.25148223,2539.8,12.24778,722402.4262945,9677279.13955374,2532.2,12.36639,0.404776100829606,0.11861,3,1685449319,"614820f9e6",103,12467.988,8,"N"
"104","40",718600.71481514,9676647.51245958,2575,15.62917,717007.147253671,9677057.79010009,2617.1,15.71111,4.00150211902445,0.0819399999999995,2,1685979760,"614820f9e6",104,15.28111,33,"Y"
