"","tripid","ox","oy","oz","departure","dx","dy","dz","arrival","tdistance","ttime","dow","timestamp","uid","id"
"488","91",725977.001599203,9675289.47527964,2572.1,6.45417,722098.017296041,9677110.40630115,2558.5,7.12139,7.07742186280646,0.667219999999999,5,1687417637,"5e07916cfb",488
"489","92",722121.611692538,9677090.42307821,2557.2,9.15056,722067.951844854,9677212.20121798,2556.3,10.10306,8.45132621081285,0.952499999999999,5,1687428371,"5e07916cfb",489
"490","93",722063.162730597,9677214.2226549,2556.2,10.33972,721912.167387957,9677221.9452176,2539,10.41,0.205129372062305,0.0702800000000003,5,1687429476,"5e07916cfb",490
"491","94",721916.86421361,9677211.78375448,2539.1,10.63,721915.138496835,9677216.85232087,2539,10.76917,0.362637309675411,0.13917,5,1687430769,"5e07916cfb",491
"492","95",721903.488373186,9677231.40590404,2539.1,11.66167,722355.852975188,9677233.78757273,2535.2,12.04417,0.596137277308432,0.382499999999999,5,1687435359,"5e07916cfb",492
"493","96",726002.978321601,9675295.76560265,2572.4,14.38,719109.411011746,9677289.28805527,2593.5,14.85583,11.9726771380056,0.475829999999998,1,1687704681,"5e07916cfb",493
"494","97",719107.29349405,9677292.91940623,2593.5,20.00694,725355.08242087,9680290.30703495,2529.2,20.29278,11.5064282118643,0.28584,1,1687724254,"5e07916cfb",494
"495","98",725502.62138767,9680373.50432828,2526.8,0.57889,725953.928544011,9675314.50245219,2572.1,0.90611,8.69994609324711,0.32722,2,1687740862,"5e07916cfb",495
"496","99",725968.550842418,9675301.96666688,2572.2,6.46972,722099.17890096,9677088.26199195,2556.1,6.88389,6.9189953367266,0.41417,2,1687762382,"5e07916cfb",496
"497","1",724271.825300678,9678156.90691389,0,6.6825,722346.630740318,9677254.64150528,2514.6,6.81972,3.38236039917281,0.13722,6,1679640551,"7da0f3b5c9",497
"498","10",718203.956238633,9677574.33220995,2580.8,16.33639,725413.661805855,9678655.57772578,2491.9,16.7925,9.92774965353861,0.456109999999999,7,1679762853,"7da0f3b5c9",498
"499","100",721861.993669775,9678222.14337504,2516.8,20.18694,725423.791237232,9678640.51412746,2488.6,20.42083,4.64859133926802,0.233889999999999,4,1687379115,"7da0f3b5c9",499
"500","101",725334.476601745,9678912.89431553,2509.1,6.63528,722326.26164804,9677236.25156106,2515.5,6.92694,6.64272505306315,0.29166,5,1687416937,"7da0f3b5c9",500
"501","102",722551.308327959,9677223.05792234,2523.4,10.50222,725411.495376777,9678641.04917425,2490.9,10.87944,9.1286451842471,0.377220000000001,5,1687431166,"7da0f3b5c9",501
